Time (s) cumu,Cycle number,max_SOC,min_SOC,SoH,max_voltage,min_voltage,mean_voltage,max_current,min_current,timetaken,max_capacity,min_capacity,rul,max_capacity_fade_rate
4179,1,107.51536694444388,-0.4889173989898975,108.00428434343378,3.5999,1.9481,3.3066687799043066,5500.0,-5499.62,4179,1175.6222044444444,0.0,1504,
8295,2,107.30433017676695,-0.5927488636364652,107.89707904040341,3.5999,1.941,3.297230291970803,5500.37,-5499.25,4116,1173.2964622222223,0.0,1503,2.325742222222061
12407,3,107.225622575757,-0.6441711111112696,107.86979368686826,3.5999,1.9298,3.297379318734793,5500.0,-5499.25,4112,1172.4500266666666,-0.0566177777777738,1502,0.8464355555556722
16517,4,107.18133563131268,-0.6045393686870093,107.78587499999969,3.5999,1.9453,3.297318734793187,5499.25,-5499.62,4110,1171.9220088888887,0.0,1501,0.5280177777779045
20627,5,107.13243068181764,-0.5995039141415104,107.73193459595915,3.5999,1.9816,3.2974301703163023,5498.88,-5500.0,4110,1171.3995022222225,0.0,1500,0.5225066666662315
24736,6,107.08159219696913,-0.6502237121211828,107.73181590909032,3.5999,1.9196,3.2972577858880783,5498.88,-5499.62,4109,1170.8267733333332,-0.4599377777778954,1499,0.5727288888892872
28846,7,107.07931765151456,-0.5952841161616261,107.67460176767618,3.5999,1.9856,3.2988940316686963,5500.0,-5499.62,4110,1170.80944,0.0,1498,0.01733333333322662
32956,8,107.02321545454484,-0.6501252020204246,107.67334065656526,3.5999,1.9363,3.298951157125457,5499.25,-5499.62,4110,1170.209191111111,-0.460519999999974,1497,0.6002488888889275
37067,9,107.02137636363594,-0.6529509090909167,107.67432727272686,3.5999,1.8901,3.298934713763703,5499.25,-5499.62,4111,1170.1695644444444,-0.4940577777779253,1496,0.03962666666666337
41180,10,107.05021558080767,-0.5678624494949278,107.6180780303026,3.5999,1.9624,3.299217274939173,5498.88,-5499.62,4113,1170.1673244444444,0.0,1495,0.0022400000000288856
45292,11,106.96710414141366,-0.6495867676769201,107.61669090909058,3.5999,1.9134,3.2994434306569342,5498.88,-5499.25,4112,1169.5849244444444,-0.4556088888889462,1494,0.5824000000000069
49403,12,106.96142810606014,-0.5995499242426122,107.56097803030275,3.5999,1.9872,3.299250608272506,5498.88,-5499.62,4111,1169.5264355555555,0.0,1493,0.05848888888885995
53514,13,106.91058823232282,-0.6497387878789066,107.56032702020173,3.5999,1.9441,3.2993354014598544,5498.88,-5499.62,4111,1168.9537422222222,-0.4605466666666871,1492,0.5726933333332909
57625,14,106.91046040404004,-0.6500297474747709,107.56049015151481,3.5999,1.9004,3.299269343065693,5498.88,-5499.62,4111,1168.9523022222222,-0.4632311111110994,1491,0.0014400000000023283
61736,15,106.90689404040364,-0.5975865151515756,107.50448055555522,3.5999,1.9738,3.2992734793187344,5498.88,-5499.62,4111,1168.9239466666666,0.0,1490,0.02835555555566316
65847,16,106.8526302777773,-0.6524411868688696,107.50507146464616,3.5999,1.9363,3.2992051094890513,5498.88,-5499.62,4111,1168.3590933333332,-0.4418844444446108,1489,0.5648533333333035
